"Gene","Correlation_with_PCoA1"
"group_2460.hypothetical.protein",0.907581505391856
"group_2459.Prophage.protein",0.907581505391856
"group_2285.hypothetical.protein.CPS.53..KpLE1..prophage.protein",0.907581505391856
"group_2226.Inner.membrane.protein",0.907581505391856
"group_2206.internal.virion.protein.Tail.fibers.protein.IgGFc.binding.protein.N.terminal.domain.containing.protein",0.907581505391856
"group_2154.RecT.family.recombinase.recombinase.RecT.Recombinational.DNA.repair.protein.RecT",0.907581505391856
"group_1944.Rz.like.spanin",0.907581505391856
"group_1918.DNA.primase",0.907581505391856
"group_1916.Bacteriophage.protein",0.907581505391856
"group_1915.hypothetical.protein",0.907581505391856
"group_1902.serum.resistance.lipoprotein.Bor",0.907581505391856
"group_1901.Spanin.inner.membrane.subunit",0.907581505391856
"group_1897.IS3.family.IS2.transposase.ORF.A",0.907581505391856
"group_1793.DUF1737.domain.containing.protein",0.907581505391856
"group_1789.Terminase.small.subunit..Partial.",0.907581505391856
"group_1787.Large.subunit.terminase",0.907581505391856
"group_1785.WH2.domain.containing.protein",0.907581505391856
"group_1783.Phage.protein",0.907581505391856
"group_1781.N4.gp56.family.major.capsid.protein",0.907581505391856
"group_1779.Capsid.and.scaffold.protein",0.907581505391856
"group_1777.Phage.protein",0.907581505391856
"group_1775.Phage.protein",0.907581505391856
"group_1773.Phage.protein",0.907581505391856
"group_1771.Bacteriophage.933W.L0121.tail.fibre.C.terminal.domain.containing.protein",0.907581505391856
"group_1768.Bacteriophage.933W.L0121.tail.fibre.C.terminal.domain.containing.protein",0.907581505391856
"group_1766.hypothetical.protein",0.907581505391856
"emrE.multidrug.efflux.SMR.transporter.EmrE",0.907581505391856
"group_1565.DUF826.domain.containing.protein",0.907581505391856
"group_1462.IS66.like.element.accessory.protein.TnpA",0.907581505391856
"group_1454.IS66.like.element.accessory.protein.TnpA",0.907581505391856
"group_1442.IS66.family.insertion.sequence.element.accessory.protein.TnpB",0.907581505391856
"group_1429.IS66.family.ISEc8.transposase",0.907581505391856
"group_1290.hypothetical.protein",0.907581505391856
"group_1262.hypothetical.protein",0.907581505391856
"group_1221.Phage.antirepressor",0.907581505391856
"group_1213.hypothetical.protein",0.907581505391856
"group_1192.Prophage.protein",0.907581505391856
"group_1173.Prophage.protein",0.907581505391856
"group_1144.Cro.Repressor",0.907581505391856
"group_1136.hypothetical.protein",0.907581505391856
"group_1128.hypothetical.protein",0.907581505391856
"group_1119.Cell.division.inhibitor.protein",0.907581505391856
"group_1118.DUF1382.domain.containing.protein",0.907581505391856
"group_1107.AlpA.family.phage.regulatory.protein",0.907581505391856
"group_1102.DUF4014.domain.containing.protein",0.907581505391856
"group_1073.Transcriptional.regulator",0.907581505391856
"group_1053.Lipoprotein",0.907581505391856
"parD.Antitoxin.ParD",0.907581505391856
"group_964.Excisionase",0.907581505391856
"group_962.AbrB.family.transcriptional.regulator",0.907581505391856
"gamL.host.nuclease.inhibitor.GamL",0.907581505391856
"group_947.Phage.protein",0.907581505391856
"group_940.PerC.family.transcriptional.regulator",0.907581505391856
"perC.PerC.family.transcriptional.regulator",0.907581505391856
"group_910.HigA.family.addiction.module.antitoxin",0.907581505391856
"group_779.ASCH.domain.containing.protein",0.907581505391856
"group_778.hypothetical.protein",0.907581505391856
"group_767.Helix.turn.helix.domain.containing.protein",0.907581505391856
"group_761.Antiterminator",0.907581505391856
"group_730.KilA.N.DNA.binding.domain.containing.protein",0.907581505391856
"group_729.ProQ.FinO.family.protein",0.907581505391856
"group_704.Regulator",0.907581505391856
"group_683.DUF1367.domain.containing.protein",0.907581505391856
"group_682.hypothetical.protein",0.907581505391856
"group_681.Single.stranded.DNA.binding.protein",0.907581505391856
"ybcL.Raf.kinase.inhibitor.like.protein.YbcL",0.907581505391856
"group_520.DUF669.domain.containing.protein",0.907581505391856
"group_490.Antirepressor.protein",0.907581505391856
"group_482.DUF551.domain.containing.protein",0.907581505391856
"group_465.IS3.family.transposase.ORF.B",0.907581505391856
"group_460.Antirepressor.protein",0.907581505391856
"group_458.hypothetical.protein",0.907581505391856
"group_435.ORF6N.domain.containing.protein",0.907581505391856
"group_424.Exonuclease",0.907581505391856
"lexA.Repressor.protein.CI",0.907581505391856
"ybcM.Uncharacterized.HTH.type.transcriptional.regulator.YbcM",0.907581505391856
"group_309.Antirepressor",0.907581505391856
"group_253.Restriction.endonuclease",0.907581505391856
"group_239.Zinc.binding.domain.primase.helicase",0.907581505391856
"group_219.hypothetical.protein",0.907581505391856
"group_195.N.acetyltransferase",0.907581505391856
"group_189.tyrosine.type.recombinase.integrase",0.907581505391856
"group_171.Inner.membrane.protein",0.907581505391856
"group_131.Integrase",0.907581505391856
"trmN6.site.specific.DNA.methyltransferase..adenine.specific.",0.907581505391856
"group_80.DEAD.DEAH.box.helicase",0.907581505391856
"group_60.DNA.primase",0.907581505391856
"group_2312.Protein.ren",-0.907581505391856
"group_2311.Protein.kil",-0.907581505391856
"group_2296.KilA.N.domain.containing.protein",-0.907581505391856
"group_2180.Restriction.alleviation.protein.Lar.family",-0.907581505391856
"group_2095.host.specificity.protein.J.Host.specificity.protein.J.Phage.host.specificity.protein",-0.907581505391856
"group_1688.phage.major.capsid.protein",-0.907581505391856
"group_1682.Phage.terminase.small.subunit",-0.907581505391856
"group_1552.Prophage.protein",-0.907581505391856
"group_1551.Phage.protein",-0.907581505391856
"group_1549.NinA.protein",-0.907581505391856
"ea10.Protein.ea10",-0.907581505391856
"cIII.Protease.inhibitor.III",-0.907581505391856
"group_1024.Bacteriophage.protein",-0.907581505391856
"group_1724.Bacteriophage.933W.L0121.tail.fibre.C.terminal.domain.containing.protein",-0.903160311246172
"group_1941.hypothetical.protein",0.892770125122133
"group_330.autotransporter.outer.membrane.beta.barrel.domain.containing.protein",0.892323026397301
"group_2225.Superfamily.I.DNA.helicase.Prophage.protein",0.890460658745762
"group_2101.hypothetical.protein",0.890460658745762
"group_1898.Phage.protein",0.890460658745762
"group_1143.Phage.protein",0.890460658745762
"group_687.hypothetical.protein",0.890460658745762
"group_322.DUF2303.domain.containing.protein",0.890460658745762
"group_294.Phosphoadenosine.phosphosulphate.reductase.domain.containing.protein",0.890460658745762
"group_258.Ead.Ea22.like.family.protein",0.890460658745762
"group_1451.IS66.family.insertion.sequence.element.accessory.protein.TnpB",0.88814020052515
"group_1438.IS66.family.ISEc8.transposase",0.88814020052515
"group_2257.phage.tail.protein",0.887200247973793
"group_2458.Prophage.protein",0.880752316248185
"group_2453.Host.cell.division.inhibitor.Icd.like.protein.host.cell.division.inhibitor.Icd.like.protein.Icd.like.protein",0.880752316248185
"group_2429.DUF1133.domain.containing.protein",0.880752316248185
"group_2426.DUF1364.domain.containing.protein",0.880752316248185
"group_2425.Prophage.protein",0.880752316248185
"group_2422.DUF1367.domain.containing.protein",0.880752316248185
"group_2413.Prophage.protein",0.880752316248185
"group_2395.Phage.protein",0.880752316248185
"group_2382.hypothetical.protein.phage.tail.length.tape.measure.family.protein.phage.tail.tape.measure.protein.Tape.measure.protein",0.880752316248185
"group_2364.Single.stranded.DNA.binding.protein",0.880752316248185
"group_2363.host.cell.division.inhibitor.Icd.like.protein.Host.cell.division.inhibitor.Icd.like.protein",0.880752316248185
"group_2362.Antirepressor.protein",0.880752316248185
"group_2361.DUF1441.domain.containing.protein.Terminase.small.subunit",0.880752316248185
